Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
25,1,50,471000
25,1,50,497000
25,1,50,489000
25,1,50,495000
25,1,50,481000
25,1,50,477000
25,1,50,451000
25,1,50,492000
25,1,50,465000
25,1,50,455000
25,1,50,486000
25,1,50,481000
25,1,50,464000
25,1,50,456000
25,1,50,483000
25,1,50,541000
25,1,50,465000
25,1,50,469000
25,1,50,482000
25,1,50,477000
25,1,50,477000
25,1,50,478000
25,1,50,482000
25,1,50,489000
25,1,50,472000
25,1,50,491000
25,1,50,476000
25,1,50,492000
25,1,50,487000
25,1,50,475000
25,1,50,495000
25,1,50,510000
25,1,50,470000
25,1,50,472000
25,1,50,478000
25,1,50,520000
25,1,50,466000
25,1,50,493000
25,1,50,518000
25,1,50,498000
25,1,50,445000
25,1,50,707000
25,1,50,432000
25,1,50,547000
25,1,50,580000
25,1,50,451000
25,1,50,484000
25,1,50,452000
25,1,50,558000
25,1,50,493000
25,1,50,561000
25,1,50,455000
25,1,50,921000
25,1,50,456000
25,1,50,441000
25,1,50,548000
25,1,50,530000
25,1,50,451000
25,1,50,479000
25,1,50,530000
25,1,50,449000
25,1,50,469000
25,10,50,561000
25,10,50,558000
25,10,50,576000
25,10,50,662000
25,10,50,504000
25,10,50,543000
25,10,50,724000
25,10,50,527000
25,10,50,534000
25,10,50,509000
25,10,50,514000
25,10,50,532000
25,10,50,523000
25,10,50,686000
25,10,50,509000
25,10,50,520000
25,10,50,520000
25,10,50,527000
25,10,50,559000
25,10,50,534000
25,10,50,528000
25,10,50,535000
25,10,50,561000
25,10,50,564000
25,10,50,512000
25,10,50,525000
25,10,50,510000
25,10,50,518000
25,10,50,518000
25,10,50,515000
25,10,50,522000
25,10,50,547000
25,10,50,572000
25,10,50,518000
25,10,50,501000
25,10,50,536000
25,10,50,762000
25,10,50,532000
25,10,50,624000
25,10,50,601000
25,10,50,556000
25,10,50,585000
25,10,50,553000
25,10,50,490000
25,10,50,481000
25,10,50,590000
25,10,50,484000
25,10,50,596000
25,10,50,552000
25,10,50,524000
25,10,50,526000
25,10,50,837000
25,10,50,495000
25,10,50,515000
25,10,50,581000
25,10,50,536000
25,10,50,594000
25,10,50,610000
25,10,50,533000
25,10,50,530000
25,10,50,541000
25,10,50,556000
25,10,50,538000
25,10,50,559000
25,10,50,522000
25,10,50,564000
25,10,50,538000
25,10,50,557000
25,10,50,550000
25,10,50,538000
25,10,50,565000
25,10,50,573000
25,10,50,522000
25,10,50,530000
25,10,50,523000
25,10,50,536000
25,10,50,523000
25,10,50,518000
25,10,50,525000
25,10,50,528000
25,10,50,523000
25,10,50,520000
25,10,50,521000
25,10,50,541000
25,10,50,557000
25,10,50,538000
25,10,50,524000
25,10,50,519000
25,10,50,512000
25,10,50,538000
25,10,50,530000
25,10,50,532000
25,10,50,501000
25,10,50,528000
25,10,50,503000
25,10,50,529000
25,10,50,535000
25,10,50,632000
25,10,50,542000
25,10,50,525000
25,19,50,557000
25,19,50,562000
25,19,50,554000
25,19,50,566000
25,19,50,574000
25,19,50,567000
25,19,50,570000
25,19,50,571000
25,19,50,580000
25,19,50,557000
25,19,50,614000
25,19,50,573000
25,19,50,578000
25,19,50,550000
25,19,50,649000
25,19,50,564000
25,19,50,613000
25,19,50,571000
25,19,50,572000
25,19,50,584000
25,19,50,571000
25,19,50,569000
25,19,50,568000
25,19,50,555000
25,19,50,557000
25,19,50,562000
25,19,50,570000
25,19,50,564000
25,19,50,555000
25,19,50,677000
25,19,50,567000
25,19,50,556000
25,19,50,557000
25,19,50,575000
25,19,50,579000
25,19,50,587000
25,19,50,564000
25,19,50,567000
25,19,50,830000
25,19,50,553000
25,19,50,756000
25,19,50,560000
25,19,50,572000
25,19,50,563000
25,19,50,571000
25,19,50,594000
25,19,50,559000
25,19,50,573000
25,19,50,565000
25,19,50,557000
25,19,50,558000
25,19,50,558000
25,19,50,559000
25,19,50,551000
25,19,50,566000
25,19,50,585000
25,19,50,562000
25,19,50,552000
25,19,50,556000
25,19,50,565000
25,19,50,566000
25,19,50,534000
25,19,50,621000
25,19,50,570000
25,19,50,537000
25,19,50,580000
25,19,50,551000
25,19,50,566000
25,19,50,561000
25,19,50,555000
25,19,50,573000
25,19,50,575000
25,19,50,617000
25,19,50,572000
25,19,50,565000
25,19,50,562000
25,19,50,565000
25,19,50,541000
25,19,50,552000
25,19,50,566000
25,19,50,590000
25,19,50,581000
25,19,50,568000
25,19,50,565000
25,19,50,564000
25,19,50,568000
25,19,50,559000
25,19,50,576000
25,19,50,580000
25,19,50,556000
25,19,50,555000
25,19,50,552000
25,19,50,545000
25,19,50,581000
25,19,50,555000
25,19,50,570000
25,19,50,561000
25,19,50,569000
25,19,50,560000
25,19,50,554000
25,28,50,601000
25,28,50,596000
25,28,50,612000
25,28,50,624000
25,28,50,596000
25,28,50,583000
25,28,50,605000
25,28,50,608000
25,28,50,607000
25,28,50,597000
25,28,50,589000
25,28,50,612000
25,28,50,599000
25,28,50,617000
25,28,50,591000
25,28,50,620000
25,28,50,608000
25,28,50,608000
25,28,50,759000
25,28,50,597000
