Pallet: "vesting", Extrinsic: "vest_other", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
b,l,extrinsic_time,storage_root_time
1,16,425000,70000
1,16,369000,71000
1,16,446000,75000
1,16,225000,72000
1,16,228000,71000
1,16,223000,70000
1,16,444000,71000
1,16,440000,71000
1,16,439000,75000
1,16,421000,76000
1,16,435000,72000
1,16,225000,70000
1,16,406000,73000
1,16,361000,75000
1,16,385000,72000
1,16,224000,71000
1,16,370000,72000
1,16,389000,71000
1,16,226000,71000
1,16,229000,72000
1,16,226000,71000
1,16,219000,68000
1,16,371000,72000
1,16,438000,76000
1,16,487000,86000
1,16,444000,90000
1,16,502000,92000
1,16,394000,72000
1,16,456000,74000
1,16,388000,79000
1,16,238000,74000
1,16,459000,75000
1,16,445000,79000
1,16,437000,76000
1,16,431000,76000
1,16,431000,75000
1,16,423000,75000
1,16,246000,75000
1,16,391000,76000
1,16,407000,77000
1,16,403000,75000
1,16,711000,119000
1,16,626000,79000
1,16,415000,77000
1,18,413000,78000
1,18,503000,115000
1,18,378000,76000
1,18,414000,74000
1,18,370000,73000
1,18,429000,80000
1,18,379000,72000
1,18,362000,73000
1,18,442000,72000
1,18,366000,76000
1,18,434000,77000
1,18,384000,74000
1,18,415000,74000
1,18,401000,74000
1,18,417000,77000
1,18,400000,73000
1,18,433000,80000
1,18,397000,77000
1,18,235000,87000
1,18,437000,76000
1,18,396000,78000
1,18,418000,76000
1,18,432000,145000
1,18,459000,90000
1,18,480000,89000
1,18,495000,93000
1,18,402000,77000
1,18,427000,78000
1,18,430000,78000
1,18,427000,98000
1,18,443000,72000
1,18,264000,82000
1,18,427000,72000
1,18,253000,80000
1,18,480000,82000
1,18,485000,67000
1,18,225000,72000
1,18,226000,72000
1,18,195000,63000
1,18,225000,72000
1,18,400000,71000
1,18,438000,72000
1,18,231000,74000
1,18,456000,79000
1,18,230000,71000
1,18,409000,71000
1,18,596000,119000
1,18,433000,78000
1,18,236000,74000
1,18,423000,72000
1,18,402000,74000
1,18,228000,71000
1,18,230000,72000
1,18,422000,73000
1,18,225000,71000
1,18,227000,71000
1,18,412000,72000
1,18,250000,78000
1,18,400000,70000
1,18,390000,72000
1,18,467000,78000
1,18,437000,74000
1,18,411000,72000
1,18,372000,70000
1,18,480000,81000
1,18,231000,73000
1,18,480000,81000
1,18,415000,72000
1,18,424000,81000
