Pallet: "treasury", Extrinsic: "award_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
460,27356,2185,1,5,1,2
460,27141,2180,1,5,1,2
460,27162,2173,1,5,1,2
460,27309,2243,1,5,1,2
460,27173,2208,1,5,1,2
460,27213,2190,1,5,1,2
460,27232,2189,1,5,1,2
460,27015,2114,1,5,1,2
460,27383,2163,1,5,1,2
460,27512,2221,1,5,1,2
460,27383,2339,1,5,1,2
460,27415,2184,1,5,1,2
460,27316,2171,1,5,1,2
460,27067,2219,1,5,1,2
460,27268,2224,1,5,1,2
460,27244,2163,1,5,1,2
460,27209,2188,1,5,1,2
460,27319,2140,1,5,1,2
460,27206,2211,1,5,1,2
480,27991,2310,1,5,1,2
480,27591,2295,1,5,1,2
480,27355,2204,1,5,1,2
480,27236,2253,1,5,1,2
480,27320,2331,1,5,1,2
480,27599,2238,1,5,1,2
480,27387,2399,1,5,1,2
480,27824,2335,1,5,1,2
480,27408,2219,1,5,1,2
480,27489,2294,1,5,1,2
480,27330,2251,1,5,1,2
480,27502,2237,1,5,1,2
480,27729,2261,1,5,1,2
480,27729,2318,1,5,1,2
480,27309,2241,1,5,1,2
480,27216,2272,1,5,1,2
480,27401,2229,1,5,1,2
480,27212,2236,1,5,1,2
480,27320,2294,1,5,1,2
480,27390,2199,1,5,1,2
500,27269,2244,1,5,1,2
500,27203,2193,1,5,1,2
500,27013,2176,1,5,1,2
500,27474,2221,1,5,1,2
500,27294,2292,1,5,1,2
500,27396,2261,1,5,1,2
500,27021,2158,1,5,1,2
500,27291,2196,1,5,1,2
500,27226,2257,1,5,1,2
500,27649,2298,1,5,1,2
500,26980,2171,1,5,1,2
500,27290,2253,1,5,1,2
500,27373,2241,1,5,1,2
500,27477,2298,1,5,1,2
500,27342,2271,1,5,1,2
500,27110,2232,1,5,1,2
500,26909,2202,1,5,1,2
500,27011,2214,1,5,1,2
500,27329,2310,1,5,1,2
500,27018,2266,1,5,1,2
520,27388,2237,1,5,1,2
520,27538,2214,1,5,1,2
520,27603,2318,1,5,1,2
520,27423,2235,1,5,1,2
520,27207,2192,1,5,1,2
520,27376,2248,1,5,1,2
520,27490,2258,1,5,1,2
520,27331,2221,1,5,1,2
520,27244,2304,1,5,1,2
520,27336,2239,1,5,1,2
520,27487,2262,1,5,1,2
520,27382,2157,1,5,1,2
520,27395,2215,1,5,1,2
520,27208,2289,1,5,1,2
520,27474,2229,1,5,1,2
520,27424,2373,1,5,1,2
520,27255,2233,1,5,1,2
520,27365,2262,1,5,1,2
520,27457,2317,1,5,1,2
520,27525,2274,1,5,1,2
540,27352,2251,1,5,1,2
540,27107,2273,1,5,1,2
540,27136,2226,1,5,1,2
540,27156,2298,1,5,1,2
540,27480,2278,1,5,1,2
540,27169,2243,1,5,1,2
540,27106,2227,1,5,1,2
540,27310,2295,1,5,1,2
540,27341,2273,1,5,1,2
540,27501,2244,1,5,1,2
540,27106,2226,1,5,1,2
540,27378,2197,1,5,1,2
540,27504,2346,1,5,1,2
540,27329,2278,1,5,1,2
540,27379,2263,1,5,1,2
540,27224,2238,1,5,1,2
540,27142,2336,1,5,1,2
540,27401,2254,1,5,1,2
540,27300,2300,1,5,1,2
540,27225,2190,1,5,1,2
560,27072,2245,1,5,1,2
560,27105,2367,1,5,1,2
560,27203,2171,1,5,1,2
560,27226,2269,1,5,1,2
560,26963,2287,1,5,1,2
560,27480,2277,1,5,1,2
560,27282,2180,1,5,1,2
560,27271,2208,1,5,1,2
560,26970,2230,1,5,1,2
560,27173,2214,1,5,1,2
560,27200,2250,1,5,1,2
560,27410,2186,1,5,1,2
560,27284,2284,1,5,1,2
560,27145,2221,1,5,1,2
560,27151,2279,1,5,1,2
560,27320,2302,1,5,1,2
560,27802,2281,1,5,1,2
560,27402,2299,1,5,1,2
560,27830,2362,1,5,1,2
560,27167,2253,1,5,1,2
580,27259,2239,1,5,1,2
580,27260,2161,1,5,1,2
580,27124,2224,1,5,1,2
580,27282,2164,1,5,1,2
580,27273,2266,1,5,1,2
580,27467,2182,1,5,1,2
580,27014,2232,1,5,1,2
580,27272,2257,1,5,1,2
580,27647,2240,1,5,1,2
580,27026,2268,1,5,1,2
580,27357,2167,1,5,1,2
580,55508,2257,1,5,1,2
580,27249,2254,1,5,1,2
580,27457,2343,1,5,1,2
580,27303,2279,1,5,1,2
580,27122,2251,1,5,1,2
580,27327,2186,1,5,1,2
580,27329,2217,1,5,1,2
580,27277,2246,1,5,1,2
580,27201,2256,1,5,1,2
600,27579,2237,1,5,1,2
600,27164,2171,1,5,1,2
600,27535,2300,1,5,1,2
600,27253,2264,1,5,1,2
600,27733,2311,1,5,1,2
600,27396,2234,1,5,1,2
600,27259,2209,1,5,1,2
600,27608,2278,1,5,1,2
600,27263,2214,1,5,1,2
600,27102,2280,1,5,1,2
600,27088,2276,1,5,1,2
600,27052,2272,1,5,1,2
600,27324,2260,1,5,1,2
600,27300,2188,1,5,1,2
600,27414,2242,1,5,1,2
600,27508,2291,1,5,1,2
600,27231,2213,1,5,1,2
600,27531,2296,1,5,1,2
600,27384,2241,1,5,1,2
600,27465,2364,1,5,1,2
620,27754,2210,1,5,1,2
620,27696,2290,1,5,1,2
620,27637,2242,1,5,1,2
620,27582,2348,1,5,1,2
620,27542,2241,1,5,1,2
620,27352,2277,1,5,1,2
620,27419,2291,1,5,1,2
620,27666,2201,1,5,1,2
620,27462,2188,1,5,1,2
620,27528,2306,1,5,1,2
620,27286,2254,1,5,1,2
620,27833,2313,1,5,1,2
620,27396,2208,1,5,1,2
620,27478,2244,1,5,1,2
620,27457,2203,1,5,1,2
620,27205,2192,1,5,1,2
620,27339,2218,1,5,1,2
620,27529,2226,1,5,1,2
620,27450,2263,1,5,1,2
620,27233,2191,1,5,1,2
640,27054,2186,1,5,1,2
640,27382,2245,1,5,1,2
640,26918,2195,1,5,1,2
640,26931,2242,1,5,1,2
640,27528,2261,1,5,1,2
640,27265,2261,1,5,1,2
640,27512,2218,1,5,1,2
640,27245,2255,1,5,1,2
640,27413,2358,1,5,1,2
640,27385,2185,1,5,1,2
640,27245,2178,1,5,1,2
640,27401,2250,1,5,1,2
640,27265,2184,1,5,1,2
640,27199,2196,1,5,1,2
640,27118,2173,1,5,1,2
640,27534,2225,1,5,1,2
640,27116,2173,1,5,1,2
640,27292,2189,1,5,1,2
640,27232,2315,1,5,1,2
640,27383,2288,1,5,1,2
660,27699,2209,1,5,1,2
660,27454,2260,1,5,1,2
660,27469,2344,1,5,1,2
660,27453,2193,1,5,1,2
660,27406,2314,1,5,1,2
660,27486,2308,1,5,1,2
660,27131,2210,1,5,1,2
660,27299,2384,1,5,1,2
660,27396,2315,1,5,1,2
660,27411,2286,1,5,1,2
660,27285,2181,1,5,1,2
660,27015,2208,1,5,1,2
660,27348,2330,1,5,1,2
660,27295,2217,1,5,1,2
660,27388,2250,1,5,1,2
660,27206,2163,1,5,1,2
660,27278,2236,1,5,1,2
660,27284,2190,1,5,1,2
660,27760,2213,1,5,1,2
660,27260,2242,1,5,1,2
680,27476,2293,1,5,1,2
680,27202,2240,1,5,1,2
680,27115,2315,1,5,1,2
680,27760,2298,1,5,1,2
680,27418,2241,1,5,1,2
680,27055,2305,1,5,1,2
680,27391,2279,1,5,1,2
680,27234,2247,1,5,1,2
680,27234,2258,1,5,1,2
680,27267,2198,1,5,1,2
680,27348,2263,1,5,1,2
680,27192,2206,1,5,1,2
680,27637,2260,1,5,1,2
680,27263,2184,1,5,1,2
680,27449,2222,1,5,1,2
680,27178,2277,1,5,1,2
680,27340,2256,1,5,1,2
680,27342,2205,1,5,1,2
680,27579,2226,1,5,1,2
680,27416,2240,1,5,1,2
700,27743,2297,1,5,1,2
700,27469,2285,1,5,1,2
700,27461,2235,1,5,1,2
700,27324,2294,1,5,1,2
700,27004,2219,1,5,1,2
700,27655,2174,1,5,1,2
700,27315,2256,1,5,1,2
700,27560,2255,1,5,1,2
700,27289,2318,1,5,1,2
700,27822,2214,1,5,1,2
700,27685,2197,1,5,1,2
700,27108,2265,1,5,1,2
700,27457,2306,1,5,1,2
700,27227,2276,1,5,1,2
700,27363,2299,1,5,1,2
700,27372,2217,1,5,1,2
700,26952,2268,1,5,1,2
700,27837,2205,1,5,1,2
700,27665,2245,1,5,1,2
700,27516,2306,1,5,1,2
720,27610,2232,1,5,1,2
720,27548,2217,1,5,1,2
720,30362,2217,1,5,1,2
720,27181,2197,1,5,1,2
720,27275,2190,1,5,1,2
720,27229,2345,1,5,1,2
720,27338,2251,1,5,1,2
720,27169,2190,1,5,1,2
720,27551,2275,1,5,1,2
720,27357,2209,1,5,1,2
720,27351,2197,1,5,1,2
720,27266,2241,1,5,1,2
720,27390,2179,1,5,1,2
720,27634,2236,1,5,1,2
720,27430,2229,1,5,1,2
720,30464,2238,1,5,1,2
720,27386,2272,1,5,1,2
720,27541,2261,1,5,1,2
720,27414,2158,1,5,1,2
720,27279,2230,1,5,1,2
740,26868,2346,1,5,1,2
740,26767,2197,1,5,1,2
740,27330,2316,1,5,1,2
740,27246,2185,1,5,1,2
740,27152,2239,1,5,1,2
740,27015,2247,1,5,1,2
740,26931,2226,1,5,1,2
740,27324,2217,1,5,1,2
740,27119,2238,1,5,1,2
740,26843,2292,1,5,1,2
740,26875,2324,1,5,1,2
740,27333,2284,1,5,1,2
740,27117,2232,1,5,1,2
740,26902,2242,1,5,1,2
740,27207,2201,1,5,1,2
740,27422,2255,1,5,1,2
740,27003,2339,1,5,1,2
740,27129,2210,1,5,1,2
740,26761,2208,1,5,1,2
740,27150,2209,1,5,1,2
760,27428,2212,1,5,1,2
760,27301,2278,1,5,1,2
760,27482,2254,1,5,1,2
760,27115,2261,1,5,1,2
760,27148,2289,1,5,1,2
760,26951,2303,1,5,1,2
760,27426,2226,1,5,1,2
760,27181,2202,1,5,1,2
760,26979,2154,1,5,1,2
760,27047,2322,1,5,1,2
760,27464,2298,1,5,1,2
760,27255,2309,1,5,1,2
760,27226,2212,1,5,1,2
760,27333,2205,1,5,1,2
760,27409,2202,1,5,1,2
760,27270,2308,1,5,1,2
760,27415,2241,1,5,1,2
760,27062,2319,1,5,1,2
760,27368,2258,1,5,1,2
760,27267,2317,1,5,1,2
780,27423,2273,1,5,1,2
780,27401,2291,1,5,1,2
780,27377,2312,1,5,1,2
780,27357,2230,1,5,1,2
780,27407,2298,1,5,1,2
780,27205,2181,1,5,1,2
780,27319,2188,1,5,1,2
780,27306,2219,1,5,1,2
780,28131,2194,1,5,1,2
780,27192,2226,1,5,1,2
780,27266,2222,1,5,1,2
780,27296,2178,1,5,1,2
780,27269,2249,1,5,1,2
780,27306,2214,1,5,1,2
780,27332,2220,1,5,1,2
780,27155,2286,1,5,1,2
780,27438,2281,1,5,1,2
780,26928,2211,1,5,1,2
780,27175,2260,1,5,1,2
780,27090,2191,1,5,1,2
800,27136,2264,1,5,1,2
800,27285,2224,1,5,1,2
800,27181,2308,1,5,1,2
800,27364,2363,1,5,1,2
800,27161,2278,1,5,1,2
800,27245,2289,1,5,1,2
800,27155,2326,1,5,1,2
800,27435,2184,1,5,1,2
800,26941,2260,1,5,1,2
800,27174,2209,1,5,1,2
800,27359,2276,1,5,1,2
800,26756,2334,1,5,1,2
800,27325,2286,1,5,1,2
800,27001,2321,1,5,1,2
800,27323,2300,1,5,1,2
800,27179,2311,1,5,1,2
800,27109,2194,1,5,1,2
800,27448,2270,1,5,1,2
800,27464,2183,1,5,1,2
800,27344,2259,1,5,1,2
820,27554,2259,1,5,1,2
820,27376,2229,1,5,1,2
820,27386,2242,1,5,1,2
820,27476,2154,1,5,1,2
820,27414,2196,1,5,1,2
820,27391,2256,1,5,1,2
820,27270,2175,1,5,1,2
820,45922,2149,1,5,1,2
820,27361,2262,1,5,1,2
820,27310,2259,1,5,1,2
820,27497,2255,1,5,1,2
820,27605,2359,1,5,1,2
820,27391,2192,1,5,1,2
820,27312,2221,1,5,1,2
820,27600,2211,1,5,1,2
820,27384,2175,1,5,1,2
820,27506,2150,1,5,1,2
820,27081,2282,1,5,1,2
820,27766,2295,1,5,1,2
820,27674,2259,1,5,1,2
