Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
63,16,324344,62466
63,16,324012,62799
63,16,324917,62937
63,16,324501,63611
63,16,324357,65672
63,16,321663,62878
63,16,324491,62394
63,16,323011,63181
63,16,324987,63026
63,16,323754,62867
63,16,324841,62996
63,16,324605,66400
64,16,326681,63183
64,16,327539,62974
64,16,325775,63523
64,16,325857,63424
64,16,325510,63658
64,16,324595,63337
64,16,326095,63133
64,16,325988,62619
64,16,324767,62541
64,16,324883,63464
64,16,324846,63245
64,16,324802,62931
64,16,324717,63164
64,16,325896,63163
64,16,326231,62933
64,16,324117,63366
64,16,327687,62875
64,16,326247,63092
64,16,326441,63136
64,16,324805,63048
65,16,327350,63254
65,16,327507,62704
65,16,328373,62959
65,16,327504,63306
65,16,327913,63477
65,16,327941,62791
65,16,328088,63020
65,16,328055,63382
65,16,327264,62634
65,16,326791,63101
65,16,328839,63281
65,16,327481,63133
65,16,328128,63088
65,16,327541,63325
65,16,327641,63545
65,16,326784,63352
65,16,327710,63160
65,16,327271,63350
65,16,327521,63157
65,16,327129,63208
66,16,328827,63624
66,16,332211,63340
66,16,324215,63106
66,16,328806,63510
66,16,329305,62527
66,16,328823,63556
66,16,330079,62841
66,16,329078,62840
66,16,328925,62816
66,16,328497,63286
66,16,330071,63065
66,16,328885,63250
66,16,331705,63672
66,16,328708,62951
66,16,327966,63164
66,16,327066,63415
66,16,328748,63140
66,16,329370,63048
66,16,330209,63308
66,16,329112,62981
67,16,331196,62699
67,16,325276,62944
67,16,331733,63131
67,16,330719,62955
67,16,334868,63347
67,16,330066,63007
67,16,330929,63315
67,16,330770,63298
67,16,331106,62464
67,16,331042,63697
67,16,330217,63482
67,16,331357,63367
67,16,331166,63132
67,16,331275,63388
67,16,330196,62744
67,16,330246,62668
67,16,331779,63423
67,16,328595,62650
67,16,330938,63169
67,16,332040,63628
68,16,332772,63133
68,16,332877,63027
68,16,332375,63427
68,16,333129,63214
68,16,332839,63222
68,16,332567,62598
68,16,332394,63114
68,16,332177,62455
68,16,332006,62557
68,16,332958,62796
68,16,333156,63230
68,16,332910,63296
68,16,333798,63164
