Pallet: "staking", Extrinsic: "payout_stakers", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
n,extrinsic_time_ns,storage_root_time_ns
51,2846897,634675
51,2856131,634614
51,2856794,632539
51,2871827,633977
51,2911804,634371
51,2871232,635111
51,2869058,635380
51,2867733,664672
51,2877613,636772
51,2841127,632296
51,2860947,634748
51,2870534,634972
51,2865203,632376
51,2904781,632217
51,2858668,634896
51,2868856,634421
51,2847016,634977
52,2911541,640234
52,2903627,642805
52,2922176,641723
52,2941845,641251
52,2931978,641130
52,2913633,644452
52,2906027,644165
52,2928764,643351
52,2912005,643373
52,2915628,640282
52,2922521,640114
52,2932326,641561
52,2936138,640894
52,2916433,639791
52,2929103,642618
52,2903955,639846
52,2928813,642684
52,2929326,640157
52,2910337,641468
52,2926529,640832
53,3014411,647971
53,2978094,647615
53,2973956,652351
53,2983990,649234
53,2983555,647494
53,2959348,646821
53,2973956,647476
53,2967672,647368
53,2976582,646900
53,3022924,647714
53,2993521,649456
53,2961029,647701
53,3015950,647096
53,2967579,646055
53,2958043,651272
53,2970170,650953
53,2984294,650244
53,2972062,674195
53,2986973,650983
53,2947293,651205
54,3028257,682465
54,3019511,657782
54,3015213,658398
54,3028497,658862
54,3018427,655555
54,3022539,658240
54,3039386,684209
54,3010916,655287
54,3010706,655374
54,3015344,657041
54,3041253,657751
54,3023061,658118
54,3035571,653704
54,3030724,657000
54,3021549,658121
54,3010352,655991
54,3025358,657477
54,3007557,659667
54,3005201,658723
54,3017634,656656
55,3073220,664156
55,3075873,661029
55,3077571,660037
55,3080035,660858
55,3061656,660935
55,3068379,662749
55,3074420,661649
55,3074908,663721
55,3066438,660120
55,3072147,660017
55,3083180,658192
55,3072413,661341
55,3119320,662018
55,3075735,657868
55,3083522,664916
55,3096891,662303
55,3070004,659289
55,3074176,662263
55,3072767,663374
55,3094027,663700
56,3149618,667628
56,3139591,667359
56,3165104,668714
56,3150139,669516
56,3135108,667676
56,3164988,699586
56,3159584,671865
56,3145344,671402
56,3138138,668615
56,3134623,667682
56,3137062,671205
56,3152686,668938
56,3143642,666716
56,3149109,668451
56,3133188,668460
56,3128374,666975
56,3132187,667938
56,3140930,669780
56,3164936,669534
56,3126544,666283
57,3167810,671551
57,3200682,674766
57,3162271,674033
57,3162940,674199
57,3212081,704809
57,3196017,673112
57,3203624,675149
57,3213367,674826
57,3185536,673989
57,3186226,673621
57,3206678,675049
57,3194012,673752
57,3186852,672829
57,3176091,674487
57,3192069,673938
57,3187856,677152
57,3205352,678347
57,3187786,674974
57,3202512,673375
57,3175850,674404
58,3247173,680233
58,3211575,680366
58,3244036,680542
58,3242384,680722
58,3230933,678799
58,3224508,679993
58,3232114,681731
58,3222488,681712
58,3231838,679682
58,3238861,680156
58,3222047,680348
58,3276391,682319
58,3241435,679464
58,3234697,677904
58,3230619,678447
58,3235256,678557
58,3251210,680474
58,3238276,685495
58,3240376,680484
58,3240547,681983
59,3314033,686534
59,3331282,687755
59,3333488,687391
59,3310348,685600
59,3312807,691106
59,3308138,687750
59,3298767,686299
59,3320319,686428
59,3318280,687849
59,3315859,688724
59,3318986,688343
59,3305289,688848
59,3308642,692174
59,3308959,687436
59,3309852,686448
59,3293885,689640
59,3313474,688642
59,3293911,687682
59,3337696,687272
59,3291450,689479
60,3360986,693754
60,3349743,695417
60,3364421,694863
60,3348098,695024
60,3373296,693823
60,3339324,694353
60,3334611,696024
60,3342385,693115
60,3333983,692980
60,3339045,691660
60,3345716,691512
60,3351637,693170
60,3353888,695438
60,3362709,693802
60,3352314,692981
60,3350006,693886
60,3366360,693940
60,3347446,692510
60,3352117,690987
60,3331742,694518
61,3448925,700288
61,3422386,703072
61,3414511,702514
61,3402600,701305
61,3400173,705246
61,3415915,700717
61,3421697,700760
61,3393227,699044
61,3420630,700970
61,3427240,700447
61,3424452,732497
61,3401915,700871
61,3446086,701474
61,3391197,702274
61,3400206,699990
61,3397271,703774
61,3417455,699871
61,3414772,703498
61,3419637,702694
61,3442712,703699
62,3436928,709549
62,3457904,708959
62,3450897,705606
62,3452413,708220
62,3463427,708658
62,3461813,711703
62,3450960,706609
62,3440383,707496
62,3481956,709079
62,3423874,708766
62,3446656,711323
62,3433730,709362
62,3458763,705522
62,3437819,708100
62,3473140,709784
62,3432222,711670
62,3462907,708356
62,3476532,709153
62,3468375,709858
62,3470228,710125
63,3514791,717580
63,3498371,714300
63,3519346,715677
63,3497141,711825
63,3507938,716129
63,3513810,714142
63,3520932,714332
63,3495551,715574
63,3524794,714322
63,3510640,715303
63,3500618,715303
63,3500342,711023
63,3515102,713115
63,3514684,715607
63,3551632,715909
63,3521215,714453
63,3505379,712999
63,3493563,713086
63,3550710,714117
63,3530196,713968
64,3534644,720315
64,3561810,721565
64,3554771,718883
64,3547412,720208
64,3548743,723411
64,3562442,721855
64,3562820,722001
64,3574519,721697
64,3550874,720113
64,3549440,724251
64,3550947,721298
64,3553211,722752
64,3555581,719924
64,3553265,723796
64,3527135,721582
64,3545264,720030
64,3552035,721410
64,3533913,724540
64,3535229,720921
64,3627542,718880

Median Slopes Analysis
========

Model:
Time ~=      110
    + n     54.2
              µs

Min Squares Analysis
========

Data points distribution:
    n   mean µs  sigma µs       %
    1     115.5     0.329    0.2%
    2     116.1     0.319    0.2%
    3     120.9     5.107    4.2%
    4     128.7      0.39    0.3%
    5     129.6     0.284    0.2%
    6     129.9     0.242    0.1%
    7     116.3     0.533    0.4%
    8     115.6     0.164    0.1%
    9     115.1     0.241    0.2%
   10     664.6     0.726    0.1%
   11     715.5     1.222    0.1%
   12     767.3     1.646    0.2%
   13     821.5     1.783    0.2%
   14     873.7       1.5    0.1%
   15     933.1     3.976    0.4%
   16     982.3     1.493    0.1%
   17      1035     2.005    0.1%
   18      1085     1.576    0.1%
   19      1151     1.598    0.1%
   20      1198     1.757    0.1%
   21      1251     1.308    0.1%
   22      1314     1.897    0.1%
   23      1359     2.158    0.1%
   24      1408       1.9    0.1%
   25      1474     2.397    0.1%
   26      1539     4.323    0.2%
   27      1568     2.264    0.1%
   28      1628     4.986    0.3%
   29      1679     2.886    0.1%
   30      1735     5.453    0.3%
   31      1793      4.93    0.2%
   32      1846     6.178    0.3%
   33      1904      1.91    0.1%
   34      1945     3.625    0.1%
   35      2011     2.336    0.1%
   36      2061     1.803    0.0%
   37      2113     3.179    0.1%
   38      2173     2.682    0.1%
   39      2217     5.294    0.2%
   40      2288     4.628    0.2%
   41      2317     3.061    0.1%
   42      2387     4.621    0.1%
   43      2444     2.737    0.1%
   44      2494     5.255    0.2%
   45      2545     3.951    0.1%
   46      2607     6.228    0.2%
   47      2664     6.552    0.2%
   48      2720     5.296    0.1%
   49      2774     4.012    0.1%
   50      2820     6.388    0.2%
   51      2864     4.577    0.1%
   52      2921     6.348    0.2%
   53      2976     5.654    0.1%
   54      3020      4.04    0.1%
   55      3075     2.213    0.0%
   56      3142     5.243    0.1%
   57      3191     5.853    0.1%
   58      3236     3.757    0.1%
   59      3312     3.225    0.0%
   60      3349     3.312    0.0%
   61      3415      6.96    0.2%
   62      3454     7.239    0.2%
   63      3512     5.935    0.1%
   64      3551     2.505    0.0%

Quality and confidence:
param     error
n         0.201

Model:
Time ~=        0
    + n    56.76
              µs
