Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
57,16,301228,62710
57,16,303026,62910
57,16,305615,63566
57,16,298875,63227
57,16,302997,63234
57,16,302443,62634
57,16,302049,62860
57,16,303893,63417
57,16,299753,62875
57,16,302887,63299
57,16,304167,62053
57,16,301871,63131
57,16,297448,63181
57,16,303299,63067
57,16,298097,62613
57,16,302772,62822
57,16,302681,62379
57,16,303222,63370
58,16,310221,63332
58,16,302758,63397
58,16,305628,62654
58,16,305446,63030
58,16,304549,62435
58,16,303107,63397
58,16,304579,63292
58,16,305060,63771
58,16,306175,63352
58,16,305244,62868
58,16,308481,63552
58,16,298416,63328
58,16,304210,62661
58,16,304670,63518
58,16,303458,62919
58,16,303848,62969
58,16,304415,63261
58,16,304423,62646
58,16,304481,63366
58,16,304158,63336
59,16,310113,63369
59,16,306286,63298
59,16,305690,63404
59,16,307225,63022
59,16,305720,62890
59,16,306533,63131
59,16,306121,63269
59,16,309363,63620
59,16,306034,62862
59,16,306939,63207
59,16,307342,63079
59,16,305068,62840
59,16,305940,62820
59,16,306100,63193
59,16,309499,63447
59,16,306601,62947
59,16,306391,63401
59,16,306536,63155
59,16,305278,63758
59,16,305551,63262
60,16,308198,63032
60,16,307855,63384
60,16,307115,63102
60,16,308266,63040
60,16,307911,63307
60,16,312316,63576
60,16,307382,63669
60,16,306429,63163
60,16,308343,63379
60,16,306853,63582
60,16,307391,62734
60,16,307650,62626
60,16,307236,63191
60,16,308664,63738
60,16,307344,63258
60,16,307858,63818
60,16,308028,63139
60,16,307614,63192
60,16,306956,63463
60,16,307394,63353
61,16,312529,63041
61,16,308820,63110
61,16,308011,63046
61,16,310827,62640
61,16,311902,63802
61,16,309431,63199
61,16,309162,62612
61,16,308725,63136
61,16,312343,63517
61,16,309419,62989
61,16,307983,63325
61,16,309300,63351
61,16,312979,63698
61,16,309144,63154
61,16,308268,63382
61,16,310054,62978
61,16,312138,63015
61,16,309729,63549
61,16,309206,63773
61,16,308403,63835
62,16,343201,63437
62,16,310288,63094
62,16,311614,62995
62,16,311752,63491
62,16,312509,63659
62,16,309558,63532
62,16,310892,63340
62,16,312053,63858
62,16,310754,63394
62,16,310323,63547
